epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
16,13897.5,1.05828,1.74386,1.51546,0.01395,0.53277,0.63294,0.4654,0.48753,0.35588,0.61797,0.45209,0.46757,0.31771,0.92616,1.61806,1.47876,0.01282,0,0.000505,0.000505,0.000505
17,14763,1.03781,1.70768,1.45835,0.01356,0.51859,0.63765,0.47315,0.50066,0.36802,0.62168,0.4575,0.48155,0.33263,0.93634,1.56276,1.44267,0.01297,0,0.000453258,0.000453258,0.000453258
18,15627.9,1.02573,1.67954,1.4395,0.01351,0.50717,0.66196,0.48292,0.51141,0.37677,0.63607,0.47492,0.4912,0.33323,0.92412,1.56972,1.48065,0.0129,0,0.000402084,0.000402084,0.000402084
19,16491.9,1.01834,1.65378,1.41234,0.01305,0.4963,0.6856,0.47076,0.51872,0.38783,0.67829,0.45554,0.50096,0.33832,0.9034,1.58959,1.51082,0.01249,0,0.000352037,0.000352037,0.000352037
20,17357.7,0.99429,1.63806,1.37039,0.0126,0.47726,0.67595,0.49282,0.5269,0.39436,0.65244,0.47767,0.50641,0.34635,0.88219,1.55983,1.36996,0.01166,0,0.000303665,0.000303665,0.000303665
21,18224.9,0.97041,1.58915,1.35092,0.01259,0.46607,0.67929,0.4935,0.5399,0.40886,0.65146,0.49156,0.52138,0.36089,0.88156,1.52301,1.42682,0.01201,0,0.0002575,0.0002575,0.0002575
22,19090.4,0.96166,1.56892,1.3165,0.01233,0.46009,0.69299,0.50764,0.55589,0.42181,0.6704,0.49933,0.53612,0.37053,0.86341,1.49137,1.43596,0.01159,0,0.000214046,0.000214046,0.000214046
23,19956.4,0.95361,1.55955,1.3007,0.01212,0.44273,0.68276,0.52322,0.55624,0.42232,0.66258,0.51206,0.53626,0.37166,0.85447,1.47359,1.40851,0.01117,0,0.00017378,0.00017378,0.00017378
24,20823.1,0.94431,1.53631,1.27529,0.01168,0.4261,0.70942,0.52062,0.56201,0.42668,0.68982,0.51264,0.54392,0.37664,0.84699,1.49026,1.39495,0.01109,0,0.000137143,0.000137143,0.000137143
25,21691,0.92874,1.52274,1.25204,0.01161,0.41834,0.68781,0.53169,0.56598,0.43252,0.67856,0.51979,0.54691,0.38039,0.84256,1.46617,1.35626,0.01097,0,0.000104537,0.000104537,0.000104537
26,22557.1,0.93298,1.52715,1.25542,0.0116,0.4098,0.69569,0.53792,0.56999,0.43561,0.68064,0.52232,0.54878,0.37858,0.83738,1.4887,1.36478,0.01095,0,7.63174e-05,7.63174e-05,7.63174e-05
27,23422.1,0.91841,1.50052,1.23209,0.01153,0.40906,0.69979,0.52933,0.57042,0.43945,0.69049,0.51487,0.55178,0.38065,0.83666,1.47422,1.3467,0.01091,0,5.2795e-05,5.2795e-05,5.2795e-05
28,24287,0.91776,1.49335,1.23166,0.0113,0.3986,0.70973,0.52035,0.5727,0.44001,0.69348,0.51032,0.55397,0.38111,0.83416,1.47088,1.35587,0.01077,0,3.4227e-05,3.4227e-05,3.4227e-05
29,25152.7,0.91606,1.49396,1.23076,0.01101,0.39873,0.70973,0.52664,0.57454,0.4418,0.71529,0.50876,0.55604,0.38376,0.83106,1.4655,1.35183,0.01074,0,2.08169e-05,2.08169e-05,2.08169e-05
30,26018.9,0.9093,1.48556,1.19882,0.01118,0.39609,0.71003,0.53148,0.57551,0.4423,0.69808,0.52133,0.55647,0.38382,0.83126,1.46424,1.3395,0.0107,0,1.27117e-05,1.27117e-05,1.27117e-05
