epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,917.797,1.54536,2.92888,2.97633,0.02335,1.24749,0.40821,0.1621,0.13683,0.07376,0.34648,0.13585,0.11495,0.05644,1.40725,3.00709,2.64356,0.02326,0,0.00033316,0.00033316,0.0670171
2,1791.18,1.50168,2.68618,2.52744,0.02294,1.01205,0.32747,0.22436,0.19256,0.11342,0.27,0.21159,0.18088,0.10396,1.34138,2.43628,2.33323,0.02207,0,0.000664686,0.000664686,0.0340153
3,2660.67,1.45502,2.49536,2.3147,0.02151,0.95551,0.48931,0.2854,0.26529,0.16232,0.46463,0.27323,0.2516,0.15069,1.24408,2.11655,2.28316,0.01917,0,0.000989012,0.000989012,0.0010063
4,3525.27,1.38577,2.34139,2.17508,0.02036,0.91383,0.43811,0.30559,0.26764,0.16759,0.41361,0.28063,0.25272,0.15673,1.22905,2.10052,2.15164,0.01942,0,0.000975773,0.000975773,0.000975773
5,4389.88,1.3289,2.25255,2.06256,0.01933,0.86226,0.36639,0.32749,0.2958,0.18458,0.363,0.316,0.28346,0.16937,1.18077,2.02657,1.94292,0.01911,0,0.000957205,0.000957205,0.000957205
6,5252.65,1.28589,2.159,1.97606,0.01837,0.72346,0.39802,0.34572,0.32356,0.20136,0.39904,0.32581,0.30934,0.1913,1.16768,1.94789,1.82532,0.018,0,0.000933683,0.000933683,0.000933683
7,6114.84,1.26323,2.10546,1.91301,0.0178,0.70141,0.50201,0.36762,0.33256,0.21641,0.49006,0.34564,0.31842,0.19499,1.13513,2.01686,2.02444,0.01806,0,0.000905463,0.000905463,0.000905463
8,6979.06,1.24891,2.09028,1.86894,0.01762,0.66697,0.39182,0.36316,0.35958,0.24358,0.39203,0.35128,0.34531,0.21491,1.07961,1.92618,1.74354,0.01556,0,0.000872857,0.000872857,0.000872857
9,7842.12,1.20215,1.99127,1.78958,0.01691,0.65955,0.53893,0.3971,0.39213,0.27055,0.5316,0.37313,0.37728,0.24711,1.07897,1.846,1.63519,0.01625,0,0.00083622,0.00083622,0.00083622
10,8708.36,1.19215,1.97819,1.75038,0.01623,0.63628,0.54965,0.40705,0.42208,0.28832,0.53828,0.39561,0.40434,0.2639,1.03128,1.7717,1.58703,0.01499,0,0.000795954,0.000795954,0.000795954
11,9572.31,1.1565,1.92405,1.69666,0.01609,0.61192,0.53905,0.42059,0.43528,0.30688,0.52028,0.40601,0.41903,0.27524,1.02222,1.76415,1.70846,0.01488,0,0.0007525,0.0007525,0.0007525
12,10434.2,1.14427,1.88186,1.65496,0.01576,0.60252,0.58895,0.43616,0.44242,0.31053,0.57482,0.42449,0.42684,0.28076,0.98627,1.73766,1.71582,0.01419,0,0.000706335,0.000706335,0.000706335
13,11298.1,1.12162,1.83472,1.60304,0.01535,0.5788,0.51797,0.43078,0.46232,0.33086,0.50353,0.42418,0.44677,0.29744,0.99625,1.70718,1.63324,0.01436,0,0.000657963,0.000657963,0.000657963
14,12164.2,1.09869,1.80459,1.56674,0.01471,0.56376,0.61028,0.45208,0.4738,0.34451,0.58971,0.44325,0.45561,0.31084,0.95211,1.66621,1.56589,0.01314,0,0.000607916,0.000607916,0.000607916
15,13031.1,1.07786,1.77587,1.53283,0.01441,0.54991,0.64635,0.45925,0.49164,0.35482,0.63048,0.44473,0.47233,0.31727,0.96081,1.64378,1.49593,0.0136,0,0.000556742,0.000556742,0.000556742
